Question ID,Sentence Order,Question,Answer Candidate Sentence
20,28,Do lincRNAs play a role in human cancer?,The importance of other classes of non-coding_RNAs such as long intergenic ncRNAs lincRNAs and transcribed ultraconserved regions T-UCRs as altered elements in neoplasia is also gaining recognition
20,29,Do lincRNAs play a role in human cancer?,Also the identified lincRNAs could potentially open the door for future RNA-based biomarkers and therapeutics in HER2 breast_cancer
20,30,Do lincRNAs play a role in human cancer?,To seek a panel of lincRNAs as pan-cancer biomarkers we have analyzed transcriptomes from over 3300 cancer samples with clinical information
20,31,Do lincRNAs play a role in human cancer?,Furthermore although there are a few well-characterized examples of lincRNAs associated with cancers these are just the tip of the iceberg owing to the complexity of cancer
20,32,Do lincRNAs play a role in human cancer?,Using RNA-Seq data from thousands of paired tumor and adjacent normal samples in The Cancer_Genome_Atlas TCGA we identify six lincRNAs as potential pan-cancer diagnostic biomarkers PCAN-1 to PCAN-6
20,33,Do lincRNAs play a role in human cancer?,Long_non-coding_RNAs lncRNAs CCAT1 and HOTAIR have been shown to play an important regulatory role in cancer biology and CCAT1 and HOTAIR are upregulated in several cancers however its value in the diagnosis of colorectal_cancer CRC is unclear
20,34,Do lincRNAs play a role in human cancer?,Increasing evidence_suggests that large intervening non-coding_RNAs lincRNAs regulate key pathways in cancer invasion and metastasis
20,35,Do lincRNAs play a role in human cancer?,The methylated and demethylated lincRNAs identified in this study provide novel_insights for developing cancer biomarkers and potential_therapeutic_targets
20,36,Do lincRNAs play a role in human cancer?,Using an integrative transcriptomic approach of RNA isolated from trastuzumab-sensitive and trastuzumab-resistant HER2 tumors and isogenic cell_culture_models we identified a small set of mRNAs and lincRNAs that are associated with trastuzumab-resistance TzR
20,37,Do lincRNAs play a role in human cancer?,Although there is an accumulating appreciation of the key_roles that long intergenic_non-coding_RNAs lincRNAs play in diverse cellular_processes our knowledge of how lincRNAs function in cancer remains sparse
20,38,Do lincRNAs play a role in human cancer?,The aim of this study was to evaluate the effects of single_nucleotide_polymorphisms SNPs of long intergenic_non-coding_RNAs lincRNAs on ESCC susceptibility in Chinese populations
20,39,Do lincRNAs play a role in human cancer?,Our integrated analysis reveals enhanced regulatory effects of lincRNAs and provides a resource for the study of regulatory lincRNAs that play critical_roles in lung_adenocarcinoma
20,40,Do lincRNAs play a role in human cancer?,Long_noncoding_RNAs lncRNAs play essential regulatory roles in the human cancer genome
20,41,Do lincRNAs play a role in human cancer?,We identified 83 lincRNAs showing the significant expression changes in breast tumors with a false_discovery_rate FDR 1 in the discovery dataset
20,42,Do lincRNAs play a role in human cancer?,In an attempt to find the correlation of aberrant expression of long intergenic noncoding_RNAs lincRNAs with cancer twenty-five samples of breast_cancer_tissue and respective adjacent normal tissue were studied for the expression of lincRNAs by RNA-seq
20,43,Do lincRNAs play a role in human cancer?,The aim of the present_study was to examine_whether these novel molecules are specifically regulated by different cytokines in cells of the innate_immune_system in humans in vivo and whether lincRNAs thereby might be involved in the pathophysiology of rheumatoid_arthritis RA
20,44,Do lincRNAs play a role in human cancer?,Interestingly the expression_levels of these six lincRNAs are also associated with prognosis in various cancers
20,45,Do lincRNAs play a role in human cancer?,This study demonstrates that lincRNAs can recognize protein targets in a conserved sequence-specific manner in order to affect critical cell functions
20,46,Do lincRNAs play a role in human cancer?,Considering that all reported cancer associated lincRNAs clincRNAs are biased towards up-regulation we conclude that this bias may be functionally relevant
20,47,Do lincRNAs play a role in human cancer?,Here by combining RNA-Seq data from several kinds of human cell_lines with chromatin-state maps and human expressed sequence tags we successfully identified more than 3000 human lincRNAs most of which were new ones
20,48,Do lincRNAs play a role in human cancer?,In this study we identified numerous long intergenic noncoding_RNAs lincRNAs enriched in these breast_cancer risk-related loci and identified 16 single_nucleotide_polymorphisms SNPs located within the sequences of lincRNA exonic regions
20,49,Do lincRNAs play a role in human cancer?,Long intergenic noncoding_RNAs lincRNAs have critical regulatory roles in cancer biology however the contributions of lincRNAs to esophageal_squamous_cell_carcinoma ESCC have been infrequently explored
20,50,Do lincRNAs play a role in human cancer?,In conclusion our results_suggest that lincRNAs MIR503HG and LINC00629 impaired migration and invasion capacities in a choriocarcinoma in vitro model indicating a potential_role in human reproduction and tumorigenesis
20,51,Do lincRNAs play a role in human cancer?,We classified 2461 lincRNAs into two categories and three subcategories according to their promoter_methylation_patterns in tumors
20,52,Do lincRNAs play a role in human cancer?,Here we present a comprehensive landscape of RNA-seq transcriptome profiles of lung adenocarcinomas and their paired normal counterparts to unravel gene_regulation rules of lincRNAs
20,53,Do lincRNAs play a role in human cancer?,Growing number of long intergenic noncoding_RNAs lincRNAs have recently been identified in mammals as new modulators in cancer origination and progression involved in a broad_range of biological_processes
20,54,Do lincRNAs play a role in human cancer?,Our study identifies a set of aberrantly expressed lincRNAs in breast_cancer
20,55,Do lincRNAs play a role in human cancer?,LINC00629 and MIR503HG are long intergenic_non-coding_RNAs lincRNAs mapped on chromosome X Xq26 a region enriched for genes associated with human reproduction
20,56,Do lincRNAs play a role in human cancer?,However the roles of lincRNAs in bladder_cancer remain_elusive
20,57,Do lincRNAs play a role in human cancer?,Recent_studies of dosage_compensation imprinting and homeotic gene_expression suggest that individual lincRNAs can function as the interface between DNA and specific chromatin_remodelling activities
20,58,Do lincRNAs play a role in human cancer?,We selected long intergenic noncoding_RNAs lincRNAs located in non-cardia gastric_cancer risk-related loci and identified 10 SNPs located within lincRNA exonic regions
20,59,Do lincRNAs play a role in human cancer?,By building a mathematical_model_based on correlated gene_expression we distinguished an additional subset of lincRNAs termed regulatory lincRNAs representing their dominant roles in gene_regulation
20,60,Do lincRNAs play a role in human cancer?,Therefore we sought to investigate the associations_between histone_modifications and transcript diversity levels measured by the rates of transcription start-site switching and alternative_splicing on a genome-wide scale across protein-coding genes and lincRNAs
20,61,Do lincRNAs play a role in human cancer?,Transcriptome-wide identification of mRNAs and lincRNAs associated with trastuzumab-resistance in HER2-positive breast_cancer
20,62,Do lincRNAs play a role in human cancer?,These lincRNAs are robustly validated using cancer samples from four independent RNA-Seq data_sets and are verified by qPCR in both primary breast_cancers and MCF-7 cell_line
20,63,Do lincRNAs play a role in human cancer?,However it is difficult to identify lincRNAs on a large-scale and to ascertain their functions or predict their structures in laboratory experiments because of the diversity lack of knowledge and specificity of expression of lincRNAs
20,64,Do lincRNAs play a role in human cancer?,Although lincRNAs represent the most poorly_understood product of transcription recent work has shown lincRNAs fulfill important cellular_functions
20,65,Do lincRNAs play a role in human cancer?,Recently large_numbers of normal human tissues have been profiled for non-coding_RNAs and more than fourteen thousand long intergenic_non-coding_RNAs lincRNAs are found expressed in normal human tissues
20,66,Do lincRNAs play a role in human cancer?,We examined_whether genetic polymorphisms in lincRNAs exons are associated with non-cardia gastric_cancer_risk in 438 non-cardia gastric_cancer_patients and 727 control_subjects in Chinese populations using logistic_regression
20,67,Do lincRNAs play a role in human cancer?,Integrative transcriptome-wide analyses reveal critical HER2-regulated mRNAs and lincRNAs in HER2 breast_cancer
20,68,Do lincRNAs play a role in human cancer?,Many identified lncRNAs are transcribed by RNA_polymerase_II in which they are polyadenylated whereby the long intervening noncoding_RNAs lincRNAs have been widely_used for the researches of lncRNAs
20,69,Do lincRNAs play a role in human cancer?,There is less systematic investigation of the capacity of long intergenic_non-coding_RNAs lincRNAs as biomarkers associated with breast_cancer pathogenesis or several clinicopathological variables including receptor status and patient survival
20,70,Do lincRNAs play a role in human cancer?,The results demonstrated that this group of lincRNAs was aberrantly expressed in breast_cancer
20,71,Do lincRNAs play a role in human cancer?,To functionally characterize DBM lincRNAs gene ontology GO enrichment of their associated protein-coding genes was extracted and showed over representation of protein DNA and RNA binding GO_terms
20,72,Do lincRNAs play a role in human cancer?,We hypothesized that copy_number_alterations CNAs of intergenic nonprotein-coding domains could help identify long intergenic noncoding_RNAs lincRNAs associated with metastatic cutaneous_melanoma
20,73,Do lincRNAs play a role in human cancer?,Other ncRNAs such as PIWI-interacting RNAs piRNAs small nucleolar RNAs snoRNAs transcribed ultraconserved regions T-UCRs and large intergenic_non-coding_RNAs lincRNAs are emerging as key elements of cellular homeostasis
20,74,Do lincRNAs play a role in human cancer?,We found that lincRNAs had different promoter_methylation_patterns in cancers
20,75,Do lincRNAs play a role in human cancer?,Long intergenic_non-coding_RNAs lincRNAs have historically been ignored in cancer biology
20,76,Do lincRNAs play a role in human cancer?,The associations_between lincRNAs and the risk and prognosis of ESCC were analyzed in 358 diagnosed patients from eastern China and the findings were validated in 326 additional patients from southern_China
20,77,Do lincRNAs play a role in human cancer?,Genome-wide identification and predictive modeling of lincRNAs polyadenylation in cancer genome
20,78,Do lincRNAs play a role in human cancer?,Compared to mRNA lincRNAs exhibit significantly_higher tissue specificities that are then diminished in cancer tissues
20,79,Do lincRNAs play a role in human cancer?,We validated the transcript levels of a number of putative lincRNAs in deltamethrin-resistant larvae that were exposed to deltamethrin which indicated that this group of lincRNAs might be involved in the response to xenobiotics in this insect
20,80,Do lincRNAs play a role in human cancer?,As expected we found lincRNAs to be present in CD14 monocytes of RA patients
20,81,Do lincRNAs play a role in human cancer?,To date the mechanism of lincRNAs polyadenylation related to cancer is rarely fully_understood yet
20,82,Do lincRNAs play a role in human cancer?,Do circulating long_non-coding_RNAs lncRNAs LincRNA-p21 GAS 5 HOTAIR predict the treatment response in patients with head and neck cancer treated with chemoradiotherapy
20,83,Do lincRNAs play a role in human cancer?,In humans molecular studies have suggested a functional role for lincRNAs in cancer development
20,84,Do lincRNAs play a role in human cancer?,Our analysis reveals that about 70 of PASs are located in the sense strand of lincRNAs
20,85,Do lincRNAs play a role in human cancer?,Furthermore a novel algorithm was proposed to recognize the lincRNAs PASs of tumor tissues based on support_vector_machine SVM
20,86,Do lincRNAs play a role in human cancer?,Several of the lincRNAs identified have been well characterized for their functions in carcinogenesis
20,87,Do lincRNAs play a role in human cancer?,However thousands of lincRNAs have been identified in mammals using recently_developed genomic tools including microarray and high-throughput RNA_sequencing RNA-seq
20,88,Do lincRNAs play a role in human cancer?,Although a large fraction of human protein-coding genes and lincRNAs produce more than one mRNA isoform each the regulation of this phenomenon is still incompletely_understood
20,89,Do lincRNAs play a role in human cancer?,Further we found that some of those lincRNAs may potentially serve as precursors for the production of small ncRNAs
20,90,Do lincRNAs play a role in human cancer?,Similarly to miRNAs lincRNAs exhibit distinct gene_expression_patterns in primary tumors and metastases
20,91,Do lincRNAs play a role in human cancer?,In total 127 SNPs in nine target_genes revealed by GWAS studies of other ethnic_groups and four related lincRNAs were genotyped in 549 samples 244 NB patients and 305 healthy_controls
20,92,Do lincRNAs play a role in human cancer?,Network analysis of aberrantly_methylated lincRNAs in cancers showed that lincRNAs with aberrant methylation_patterns might be involved in cancer development and progression
20,93,Do lincRNAs play a role in human cancer?,We found that the relationship_between enrichment levels of epigenetic_marks and transcription start-site switching is similar for protein-coding genes and lincRNAs
20,94,Do lincRNAs play a role in human cancer?,Interestingly none of the identified lincRNAs was influenced by both IL-6 and TNF-α suggesting the regulation of lincRNA transcription to be highly specific for distinct cytokines
20,95,Do lincRNAs play a role in human cancer?,Furthermore our analyses identified three lincRNAs that become deregulated in response to HER2 amplification both in vitro and in vivo
20,96,Do lincRNAs play a role in human cancer?,The functional impact of several long intergenic_non-coding_RNAs lincRNAs has been characterized in previous_studies
20,97,Do lincRNAs play a role in human cancer?,Large intervening non-coding_RNAs lincRNAs are pervasively transcribed in the genome yet their potential involvement in human disease is not well_understood
20,98,Do lincRNAs play a role in human cancer?,Integrative genomic analyses suggested that the aberrant expression of these 37 lincRNAs was probably related with the expression alteration of several transcription_factors TFs
20,99,Do lincRNAs play a role in human cancer?,Functional relevance of lincRNAs was further examined by biochemical assays
20,100,Do lincRNAs play a role in human cancer?,Interactions between selected lincRNAs and breast_cancer_associated proteins were highly suggested by RPIseq based on the specific secondary_structure
21,1,What is the usefulness of ultraconserved elements in phylogeny?,Ultraconserved elements UCEs have become popular markers in phylogenomic studies because of their cost_effectiveness and their potential to resolve problematic phylogenetic_relationships
21,2,What is the usefulness of ultraconserved elements in phylogeny?,Genomic data analysis using DNA structure an analysis of conserved nongenic sequences and ultraconserved elements
21,3,What is the usefulness of ultraconserved elements in phylogeny?,One of the most remarkable findings of our study is that ultraconserved elements and their flanking DNA are a rich_source of phylogenetic information with strong potential for application across Amniotes
21,4,What is the usefulness of ultraconserved elements in phylogeny?,We generated a data_set of 944 loci of ultraconserved elements UCEs to reconstruct the phylogeny of 41 representatives of 23 Acropyga species using both concatenation and species-tree approaches
21,5,What is the usefulness of ultraconserved elements in phylogeny?,Target enrichment of ultraconserved elements from arthropods provides a genomic perspective on relationships among Hymenoptera
21,6,What is the usefulness of ultraconserved elements in phylogeny?,We introduce a new class of molecular marker anchored by ultraconserved genomic elements UCEs that universally enable target enrichment and sequencing of thousands of orthologous loci across species separated by hundreds of millions of years of evolution
21,7,What is the usefulness of ultraconserved elements in phylogeny?,Here we address family-level snake relationships with new phylogenomic data from 3776 nuclear loci from ultraconserved elements 1.40 million aligned base_pairs 52 missing data overall sampled from 29 snake species that together represent almost all families a dataset 100 times larger than used in previous_studies
21,8,What is the usefulness of ultraconserved elements in phylogeny?,Conserved ultraconserved and other classes of constrained elements collectively referred as CNEs here identified by comparative_genomics in a wide_variety of genomes are non-randomly distributed across chromosomes
21,9,What is the usefulness of ultraconserved elements in phylogeny?,Concatenation and coalescence-based analysis of consensus sequences of approximately 1 million base_pairs of ultraconserved elements in the nuclear genome resulted in a phylogeny with black bears as the sister group to brown and polar_bears and all brown_bears are in a separate clade from polar_bears
21,10,What is the usefulness of ultraconserved elements in phylogeny?,The importance of other classes of non-coding_RNAs such as long intergenic ncRNAs lincRNAs and transcribed ultraconserved regions T-UCRs as altered elements in neoplasia is also gaining recognition
21,11,What is the usefulness of ultraconserved elements in phylogeny?,Restriction-site associated DNA_sequencing RAD-seq and target capture of specific genomic_regions such as ultraconserved elements UCEs are emerging as two of the most popular methods for phylogenomics using reduced-representation genomic data_sets
21,12,What is the usefulness of ultraconserved elements in phylogeny?,We generated up to 4921 ultraconserved elements with sampling strategies including 16 29 and 44 taxa from 1179 to approximately 2.4 million characters per matrix and approximately 30 to 60 total missing data
21,13,What is the usefulness of ultraconserved elements in phylogeny?,UCbase 2.0 http://ucbase.unimore.it is an update extension and evolution of UCbase a Web tool dedicated to the analysis of ultraconserved sequences UCRs
21,14,What is the usefulness of ultraconserved elements in phylogeny?,In a recent study that identified highly evolutionary conserved sequences in three genomes of Diptera species we described an ultraconserved element found at an internal exon-intron junction of the Drosophila_melanogaster homothorax hth gene that appeared to be involved in the control of hth pre-mRNA_splicing
21,15,What is the usefulness of ultraconserved elements in phylogeny?,We tested for these hidden histories using genomic markers known as ultraconserved elements UCEs in concert with phylogenies clustering_algorithms and newer introgression tests specifically_designed to detect ancient gene flow e.g. ABBA/BABA tests
21,16,What is the usefulness of ultraconserved elements in phylogeny?,We used ultraconserved element UCE phylogenomics 7 12 to resolve relationships among stinging-wasp families gathering sequence data from 800 UCE loci and 187 samples including 30 out of 31 aculeate families
21,17,What is the usefulness of ultraconserved elements in phylogeny?,We applied a target enrichment and next-generation_sequencing protocol to generate ultraconserved elements UCEs from 51 large carpenter bee specimens genus Xylocopa representing 25 species with specimen ages ranging from 2-121 years
21,18,What is the usefulness of ultraconserved elements in phylogeny?,Here we outline a phylogenomic approach using a novel class of phylogenetic markers derived from ultraconserved elements and flanking DNA
21,19,What is the usefulness of ultraconserved elements in phylogeny?,In this issue of Molecular Cell Liz et_al. 2014 describe how a lncRNA transcribed from an ultraconserved region can negatively_regulate miRNA maturation
21,20,What is the usefulness of ultraconserved elements in phylogeny?,Some biological implications are discussed but the functions of these plant ultraconserved elements and the reasons why they are practically frozen during the evolution of millions of years remain a mystery
21,21,What is the usefulness of ultraconserved elements in phylogeny?,Here we report that in every member of the human SR family of splicing regulators highly or ultraconserved elements are alternatively_spliced either as alternative poison cassette exons containing early in-frame stop_codons or as alternative introns in the 3 untranslated_region
21,22,What is the usefulness of ultraconserved elements in phylogeny?,Here we present UCbase miRfunc the first database which provides ultraconserved sequences data and shows miRNA function
21,23,What is the usefulness of ultraconserved elements in phylogeny?,Here we provide a genomic perspective on longstanding questions_regarding the diversification of major groups of ray-finned_fishes through targeted enrichment of ultraconserved nuclear DNA elements UCEs and their flanking sequence
21,24,What is the usefulness of ultraconserved elements in phylogeny?,We first established its close relationship to the mainland species Mouse-colored Tyrannulet Phaeomyias murina using a phylogeny from genome-wide ultraconserved elements and exons
21,25,What is the usefulness of ultraconserved elements in phylogeny?,Here we present a genomic toolkit for arachnids featuring hundreds of conserved DNA regions ultraconserved elements or UCEs that allow targeted sequencing of any species in the arachnid tree of life
21,26,What is the usefulness of ultraconserved elements in phylogeny?,In this study we use over 350 ultraconserved element UCEs loci comprising five million base_pairs collected across thirty-five representative ostariophysan species to compile one of the most data-rich phylogenies of fishes to date
21,27,What is the usefulness of ultraconserved elements in phylogeny?,These findings_support a general recommendation that the identification and analysis of key ultraconserved elements should be incorporated into the genetic risk_assessment of holoprosencephaly cases
21,28,What is the usefulness of ultraconserved elements in phylogeny?,Ultraconserved elements sequences with 100 identity with no insertions or deletions between genomes have been found in both vertebrate and invertebrate genomes whether plant genomes contain ultraconserved elements however is unknown
21,29,What is the usefulness of ultraconserved elements in phylogeny?,The possibility that a subset of vertebrate ultraconserved regions may function at both the DNA and RNA level to control key developmental regulators may explain why ultraconserved sequences exhibit 90 or more conservation even after 450 million years of vertebrate evolution
21,30,What is the usefulness of ultraconserved elements in phylogeny?,These long conserved noncoding sequences LCNS include 473 new sequences that do not overlap with previously_reported ultraconserved elements UCE which are defined as aligned sequences longer than 200 bp with 100 identity in human mouse and rat
21,31,What is the usefulness of ultraconserved elements in phylogeny?,Similar to those previously found ultraconserved elements in plants tend to occur in clusters and locate at noncoding regions nevertheless they have many distinct features
21,32,What is the usefulness of ultraconserved elements in phylogeny?,In vertebrates the comparison of human and rodent genomes and the comparison of evolutionarily distant genomes such as human and pufferfish have identified specific sets of ultraconserved sequence elements associated with the control of early development
21,33,What is the usefulness of ultraconserved elements in phylogeny?,We utilize PHRAPL a new tool for phylogeographic model selection to compare the fit of a broad set of demographic models that include divergence migration or both among Myotis evotis M. thysanodes and M. keenii A genomic dataset consisting of 808 loci of ultraconserved elements UCEs was used to explore such models in three steps using an incremental design where each successive set was informed by and thus more focused than the previous set of models
21,34,What is the usefulness of ultraconserved elements in phylogeny?,High phylogenetic utility of an ultraconserved element probe set designed for Arachnida
21,35,What is the usefulness of ultraconserved elements in phylogeny?,Sequence capture of ultraconserved elements UCEs associated with massively_parallel_sequencing has become a common source of nuclear data for studies of animal systematics and phylogeography
21,36,What is the usefulness of ultraconserved elements in phylogeny?,Each functional class has a distinctive period of stringent constraint followed by decays that allow for the case of regulatory regions or reject for coding_regions and ultraconserved elements insertions and deletions
21,37,What is the usefulness of ultraconserved elements in phylogeny?,The strength of selection on ultraconserved elements in the human genome
21,38,What is the usefulness of ultraconserved elements in phylogeny?,We applied a new phylogenomic approach to resolve relationships in Neoaves using target enrichment sequence capture and high-throughput_sequencing of ultraconserved elements UCEs in avian genomes
21,39,What is the usefulness of ultraconserved elements in phylogeny?,These human-mouse-rat sequences which represent ultraconserved elements UCEs are believed to be important for functions involving DNA_binding RNA processing and the regulation of transcription and development
21,40,What is the usefulness of ultraconserved elements in phylogeny?,We sequenced ultraconserved elements to generate a phylogenomic tree of the Lake_Tanganyika and Lake_Malawi_cichlid radiations
21,41,What is the usefulness of ultraconserved elements in phylogeny?,These elements share certain properties with ultraconserved elements but they tend to be longer and less perfectly conserved and they overlap genes of somewhat different functional categories
21,42,What is the usefulness of ultraconserved elements in phylogeny?,Here we use a salamander endemic to the southeastern US Plethodon serratus to test the utility of an established protocol for sequence capture of ultraconserved elements UCEs in resolving intraspecific phylogeographic relationships and delimiting cryptic species
21,43,What is the usefulness of ultraconserved elements in phylogeny?,We sequenced hundreds of ultraconserved elements and whole mitochondrial_genomes in these species and estimated phylogenies using concatenation summary coalescent and hierarchical coalescent methods
21,44,What is the usefulness of ultraconserved elements in phylogeny?,Here we use one type of NGS approach sequence capture of ultraconserved elements UCEs to collect data from bird museum specimens as old as 120 years
21,45,What is the usefulness of ultraconserved elements in phylogeny?,The strength of selection associated with ultraconserved elements suggests that mutations in these regions may have subtle phenotypic consequences that are not easily detected in the laboratory
21,46,What is the usefulness of ultraconserved elements in phylogeny?,Large-scale appearance of ultraconserved elements in tetrapod genomes and slowdown of the molecular clock
21,47,What is the usefulness of ultraconserved elements in phylogeny?,We consequently compared the genomes of Arabidopsis_thaliana and rice which diverged about 200 million years_ago and identified 25 ultraconserved elements that are longer than 100 bp
21,48,What is the usefulness of ultraconserved elements in phylogeny?,For instance the longest ultraconserved element between the 2 plant genomes is 1491 bp much longer than the longest one 779 bp between the human and rodent genomes
21,49,What is the usefulness of ultraconserved elements in phylogeny?,Here we used similar methods to identify ultraconserved genomic_regions between the insect species Drosophila_melanogaster and Drosophila pseudoobscura as well as the more distantly related Anopheles_gambiae
21,50,What is the usefulness of ultraconserved elements in phylogeny?,Rapid and recent diversification of curassows guans and chachalacas Galliformes Cracidae out of Mesoamerica Phylogeny inferred from mitochondrial intron and ultraconserved element sequences
21,51,What is the usefulness of ultraconserved elements in phylogeny?,To test this hypothesis with data from many single-copy nuclear loci dispersed throughout the genome we used sequence capture high-throughput_sequencing and published genomes to obtain sequences from 1145 ultraconserved elements UCEs and their variable flanking DNA
21,52,What is the usefulness of ultraconserved elements in phylogeny?,The human and mouse genomes share a number of long perfectly conserved nucleotide_sequences termed ultraconserved elements
21,53,What is the usefulness of ultraconserved elements in phylogeny?,"The search for ever deeper relationships among the World 's languages is bedeviled by the fact that most words evolve too rapidly to preserve evidence of their ancestry beyond 5,000 to 9,000 y. On the other hand quantitative modeling indicates that some ultraconserved words exist that might be used to find evidence for deep linguistic relationships beyond that time barrier"
21,54,What is the usefulness of ultraconserved elements in phylogeny?,Finally we found that the Hox-Pbx exonic element is embedded in a larger 205-bp long ultraconserved genomic element UCE shared by all vertebrate genomes
21,55,What is the usefulness of ultraconserved elements in phylogeny?,Here we evaluate the efficacy of genomic markers targeting ultraconserved DNA elements UCEs for analyses at shallow evolutionary timescales
21,56,What is the usefulness of ultraconserved elements in phylogeny?,To determine_whether polymorphisms in ultraconserved elements affect fitness we genotyped unrelated human DNA samples at loci within these sequences
21,57,What is the usefulness of ultraconserved elements in phylogeny?,We present a species-level phylogeny of Cracidae inferred from a matrix of 430 ultraconserved elements UCEs at least one species sampled per genus and eight more variable loci introns and mtDNA all available species
21,58,What is the usefulness of ultraconserved elements in phylogeny?,In this study we define a set of 2827 short ultraconserved promoter_regions SUPR in 5 kb_upstream regions of 1268 human protein-coding genes using a definition of 98 identity for at least 30 bp in 7 mammalian species
21,59,What is the usefulness of ultraconserved elements in phylogeny?,"Stephen 2008 identified 13,736 ultraconserved elements UCEs in placental_mammals and investigated their evolution in opossum chicken frog and fugu"
