question_id,question,bert_rank,biobert_rank
4399,Which is the most abundant membrane protein on Earth?,1,1
5330,Does triiodothyronine (T3) has cardiac angiogenic effects?,1,1
5331,Can tetracycline affect tooth formation?,10,2
5332,Does TGF-beta play a role in cardiac regeneration after myocardial infarction?,N/A,N/A
5333,To the ligand of which receptors does Denosumab (Prolia) bind?,1,3
5334,Which phenomenon is described as oncogene addiction?,1,3
5335,Which enzyme is targeted by Evolocumab?,1,1
5336,Which is the major symptom of the Doose syndrome?,1,1
5337,What is the mode of inheritance in Fanconi anemia?,1,1
5338,Which protein is found to be mutated in Friedreich's ataxia?,2,2
5339,Is zolpidem an antibiotic?,1,1
6330,Which receptors are targeted by suvorexant?,1,3
6331,What is the role of extracellular signal-related kinases 1 and 2 (ERK1/2) proteins in craniosynostosis?,5,3
6332,Idarucizumab is an antidote of which drug?,1,1
6333,Which enzyme is deficient in Krabbe disease?,1,2
6334,Which protein kinases have been found to phosphorylate Phospholamban and affect its biological activity?,6,1
6335,Which genes are affected in ROMANO-WARD syndrome?,1,1
6336,Is protein Fbw7 a SCF type of E3 ubiquitin ligase?,2,2
6337,Which drugs are included in TAS-102?,1,2
6338,List programs suitable for protein docking,1,1
6339,which are the risk factors for sudden cardiac death in patients with hypertrophic cardiomyopathy?,1,1
7260,Which is the gene most commonly mutated in Tay-Sachs disease?,1,1
7261,Which disease can be treated with Delamanid?,1,1
7262,Are Notch mutations related to T-cell Acute Lymphoblastic Leukemia (T-ALL)?,1,1
7263,Which are the main functions of G3BP1 and G3BP2 proteins?,1,1
7264,Which enzyme is deficient in Gaucher's disease?,1,2
7265,Which are the Yamanaka factors?,1,1
7266,What are the results of loss of the protein Lon1 in the plant Arabidopsis?,7,1
7267,Is the Wnt protein modified by notum?,2,1
7268,What disease is Velcade (bortezomib) mainly used for?,1,1
7269,Tumors of which three organs are classically associated with the multiple endocrine neoplasia type 1 syndrome?,3,1
8130,What is the role of ELMO1 gene in cell migration?,N/A,N/A
8131,Which gene is associated with Muenke syndrome?,1,1
8132,Mutation of which gene is implicated in the familial isolated pituitary adenoma?,1,1
8133,List five applications of machine learning algorithms in medical diagnosis.,N/A,N/A
8134,Which type of lung cancer is the most strongly associated with Lambert-Eaton syndrome?,4,1
8135,Which proteins have been identified as RET ligands?,1,1
8136,Which fusion protein is involved in the development of Ewing sarcoma?,1,1
8137,What is the molecular pathogenesis of Spinal Muscular Atrophy?,1,5
8138,What is the role of TRH in hypertension?,3,3
8139,What is the method FASP used for?,3,5
