question,exact answer,snippets
Are thyroid hormone receptors implicated in arterial hypertension?,[yes],"Here, we describe a previously unknown population of parvalbuminergic neurons in the anterior hypothalamus that requires thyroid hormone receptor signaling for proper development. Specific stereotaxic ablation of these cells in the mouse resulted in hypertension and temperature-dependent tachycardia, indicating a role in the central autonomic control of blood pressure and heart rate.  (http://www.ncbi.nlm.nih.gov/pubmed/23257356)
Association between a thyroid hormone receptor-α gene polymorphism and blood pressure (http://www.ncbi.nlm.nih.gov/pubmed/21654857)
our study showed associations between the THRA rs939348 polymorphism and systolic BP and the risk of hypertension (http://www.ncbi.nlm.nih.gov/pubmed/21654857)"
What type of cancers and inherited diseases have been associated to mutations in the Notch pathway?,"[Alagille syndrome]
[spondylocostal dysostosis]
[CADASIL (cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy)]
[T-cell acute lymphoblastic leukemia]","Comparative functional genomic analysis identified a signature of Notch activation in 30% of HCC samples from patients. (http://www.ncbi.nlm.nih.gov/pubmed/22974708)
Here, we performed whole transcriptome sequencing on a discovery cohort of 18 primary tissue MCL samples and 2 cell lines. We found recurrent mutations in NOTCH1, a finding that we confirmed in an extension cohort of 108 clinical samples and 8 cell lines. (http://www.ncbi.nlm.nih.gov/pubmed/22210878)
We found activating mutations in Notch in more than 30% of ATL patients. These activating mutations are phenotypically different from those previously reported in T-ALL leukemias and may represent polymorphisms for activated Notch in human cancers. (http://www.ncbi.nlm.nih.gov/pubmed/20823234)
We detected Notch1 missense mutations in 8.3% of the tumors (only in the posterior fossa location and in case of 9q33-34 gain). (http://www.ncbi.nlm.nih.gov/pubmed/19289631)
Importantly, mutations of the Notch protein and components of its signaling pathway have been implicated in an array of human diseases (T-cell leukemia and other cancers, Multiple Sclerosis, CADASIL, Alagille Syndrome, Spondylocostal Dysostosis). (http://www.ncbi.nlm.nih.gov/pubmed/17584081)
Here, we demonstrate that endothelial-specific deletion of Jag1 leads to cardiovascular defects in both embryonic and adult mice that are reminiscent of those in Alagille syndrome. (http://www.ncbi.nlm.nih.gov/pubmed/23095891)
In this study, analysis of 21 Vietnamese ALGS individuals led to the identification of 19 different mutations (18 JAG1 and 1 NOTCH2), 17 of which are novel, including the third reported NOTCH2 mutation in Alagille Syndrome. (http://www.ncbi.nlm.nih.gov/pubmed/22488849)
Genetics of Holoprosencephaly (HPE), a congenital malformation of the developing human forebrain, is due to multiple genetic defects. Most genes that have been implicated in HPE belong to the sonic hedgehog signaling pathway. Here we describe a new candidate gene isolated from array comparative genomic hybridization redundant 6qter deletions, DELTA Like 1 (DLL1), which is a ligand of NOTCH. (http://www.ncbi.nlm.nih.gov/pubmed/21196490)
Four genes causing a subset of autosomal recessive forms of this disease have been identified: DLL3 (SCDO1: MIM 277300), MESP2 (SCDO2: MIM 608681), LFNG (SCDO3: MIM609813) and HES7 (SCDO4). These genes are all essential components of the Notch signalling pathway, which has multiple roles in development and disease. Previously, only a single SCD-causative missense mutation was described in HES7. In this study, we have identified two new missense mutations in the HES7 gene in a single family, (http://www.ncbi.nlm.nih.gov/pubmed/20087400)
Here we have used autozygosity mapping to identify a mutation in a fourth Notch pathway gene, Hairy-and-Enhancer-of-Split-7 (HES7), in an autosomal recessive SCD family. (http://www.ncbi.nlm.nih.gov/pubmed/18775957)
Alagille syndrome (AGS) is caused by mutations in the gene for the Notch signaling pathway ligand Jagged1 (JAG1), which are found in 94% of patients. To identify the cause of disease in patients without JAG1 mutations, we screened 11 JAG1 mutation-negative probands with AGS for alterations in the gene for the Notch2 receptor (NOTCH2). We found NOTCH2 mutations segregating in two families and identified five affected individuals. (http://www.ncbi.nlm.nih.gov/pubmed/16773578)
Mutations in the JAG1 (Jagged 1) gene, coding a ligand in the evolutionarily conserved Notch signaling pathway, are responsible for AGS. Here we present sixteen different JAG1 gene mutations, among them twelve novel, not described previously. (http://www.ncbi.nlm.nih.gov/pubmed/15712272)
Altogether 226 different JAG1 mutations have been described in association with AGS, including our novel 36 mutations. (http://www.ncbi.nlm.nih.gov/pubmed/12497640)
Previous studies have demonstrated that a wide spectrum of JAG1 mutations result in AGS. These include total gene deletions, protein truncating, splicing and missense mutations which are distributed across the coding region of the gene. Here we present results of JAG1 mutation screening by SSCP and FISH in 105 patients with AGS. For these studies, new primers were designed for 12 exons. Mutations were identified in 63/105 patients (60%) (http://www.ncbi.nlm.nih.gov/pubmed/11180599)
We have screened 54 AGS probands and family members to determine the frequency of mutations in JAG1. Three patients (6%) had deletions of the entire gene. Of the remaining 51 patients, 35 (69%) had mutations within JAG1, identified by SSCP analysis. Of the 35 identified intragenic mutations, all were unique, with the exceptions of a 5-bp deletion in exon 16, seen in two unrelated patients, and a C insertion at base 1618 in exon 9, also seen in two unrelated patients. (http://www.ncbi.nlm.nih.gov/pubmed/9585603)
Analyses of many patients with cytogenetic deletions or rearrangements have mapped the gene to chromosome 20p12, although deletions are found in a relatively small proportion of patients (< 7%). We have mapped the human Jagged1 gene (JAG1), encoding a ligand for the developmentally important Notch transmembrane receptor, to the Alagille syndrome critical region within 20p12. (http://www.ncbi.nlm.nih.gov/pubmed/9207788)"
Against which organisms has reverse vaccinology been used?,"[Neisseria meningitidis (serogroup B)]
[Porphyromonas gingivalis]
[Streptococcus pneumoniae]
[Chlamydia pneumoniae]
[Bacillus anthracis]
[group B streptococci]
[Helicobacter pylori]
[Mycobacterium tuberculosis]
[Theileria parva]
[Brachyspira hyodysenteriae]
[Echinococcus granulosus]
[Ehrlichia ruminantium]
[Leishmania spp]
[Rhipicephalus microplus]
[Brucella melitensis]","The potential of this new approach is illustrated by the use of reverse vaccinology for the development of a vaccine against serogroup B meningococcus (http://www.ncbi.nlm.nih.gov/pubmed/11257410)
The Neisseria meningitidis serogroup B project, the first example of Reverse Vaccinology (http://www.ncbi.nlm.nih.gov/pubmed/12531326)
Reverse vaccinology and vaccines for serogroup B Neisseria meningitidis (http://www.ncbi.nlm.nih.gov/pubmed/16107075)
This process, first applied to serogroup B Neisseria meningitidis, has been termed as reverse vaccinology (http://www.ncbi.nlm.nih.gov/pubmed/16107075)
A reverse vaccinology approach to swine dysentery vaccine development (http://www.ncbi.nlm.nih.gov/pubmed/19179021)
Swine dysentery (SD) is a mucohaemorrhagic colitis of pigs resulting from infection of the large intestine with the anaerobic intestinal spirochaete Brachyspira hyodysenteriae (http://www.ncbi.nlm.nih.gov/pubmed/19179021)
Reverse vaccinology approach identify an Echinococcus granulosus tegumental membrane protein enolase as vaccine candidate (http://www.ncbi.nlm.nih.gov/pubmed/20127115)
Reverse vaccinology process identified E. granulosus tegumental membrane protein enolase as vaccine candidate (http://www.ncbi.nlm.nih.gov/pubmed/20127115)
The application of RV to Neisseria meningitidis serogroup B represents the first success of this novel approach (http://www.ncbi.nlm.nih.gov/pubmed/21993656)
Identification of Ehrlichia ruminantium proteins that activate cellular immune responses using a reverse vaccinology strategy (http://www.ncbi.nlm.nih.gov/pubmed/22261504)
Ehrlichia ruminantium is an obligate intracellular bacterial pathogen which causes heartwater, a serious tick-borne disease of ruminants throughout sub-Saharan Africa (http://www.ncbi.nlm.nih.gov/pubmed/22261504)
A reverse vaccinology approach for the identification of potential vaccine candidates from Leishmania spp (http://www.ncbi.nlm.nih.gov/pubmed/22434357)
A systematic, functional genomics, and reverse vaccinology approach to the identification of vaccine candidates in the cattle tick, Rhipicephalus microplus (http://www.ncbi.nlm.nih.gov/pubmed/22521592)"
Which mitochondrial genes are regulated by thyroid hormone?,"[subunit 6 of ATP synthase, ATPase-6]
[mitochondrial II and III subunits of cytochrome-c oxidase]
[NADH dehydrogenase subunit 3, ND3]","We used a polymerase chain reaction (PCR)-based mRNA differential display (DD) analysis to obtain a profile of thyroid hormone-responsive genes in osteoblast-like cells (http://www.ncbi.nlm.nih.gov/pubmed/12225634)
At the 2-hour time point, 1 true-positive novel clone was identified and shown to be the mitochondrial gene, subunit 6 of ATP synthase (ATPase-6). (http://www.ncbi.nlm.nih.gov/pubmed/12225634)
We studied the coordination of the two genomes by measuring transcript levels for nuclear (IV, Va, and VIc) and mitochondrial (II and III) subunits of cytochrome-c oxidase after altering the mitochondrial content of rat muscle and liver by altering the thyroid state of the animals. Tissue levels of these mRNAs were generally decreased in hypothyroid animals and were up-regulated again after thyroid hormone (T3) treatment. (http://www.ncbi.nlm.nih.gov/pubmed/1331777)
Following this procedure, we now report the identification of the mitochondrial NADH dehydrogenase subunit 3 (ND3) gene as target of thyroid hormone. (http://www.ncbi.nlm.nih.gov/pubmed/7763274)
Sequencing and electrophoretic mobility shift assays confirmed the presence of a thyroid hormone receptor (TR)/c-erbA specific binding site in the mitochondrial ND3 gene. (http://www.ncbi.nlm.nih.gov/pubmed/7763274)"
Is Alpers disease inherited in an autosomal recessive mode?,[yes],"Alpers-Huttenlocher syndrome (AHS) is a very rare autosomal recessive disorder (http://www.ncbi.nlm.nih.gov/pubmed/22006280)
Alpers syndrome is an autosomal recessive mitochondrial DNA depletion disorder that affects children and young adults (http://www.ncbi.nlm.nih.gov/pubmed/16181814)
Alpers' syndrome is a fatal neurogenetic disorder first described more than 70 years ago. It is an autosomal recessive, developmental mitochondrial DNA depletion disorder characterized by deficiency in mitochondrial DNA polymerase gamma (POLG) catalytic activity, refractory seizures, neurodegeneration, and liver disease (http://www.ncbi.nlm.nih.gov/pubmed/15122711)
Histopathological findings in both patients ((a) chronic hepatitis with prominent bile duct proliferation, fatty change, and fibrosis; (b) in the brain a patchy destruction of the cerebral cortex, predominantly involving striate cortex) were characteristic of progressive neuronal degeneration of childhood with liver disease--Alpers-Huttenlocher syndrome--a rare autosomal recessive disorder usually seen in infants and young children (http://www.ncbi.nlm.nih.gov/pubmed/7897414)
Histopathological findings in both patients ((a) chronic hepatitis with prominent bile duct proliferation, fatty change, and fibrosis; (b) in the brain a patchy destruction of the cerebral cortex, predominantly involving striate cortex) were characteristic of progressive neuronal degeneration of childhood with liver disease--Alpers-Huttenlocher syndrome--a rare autosomal recessive disorder usually seen in infants and young children. (http://www.ncbi.nlm.nih.gov/pubmed/7897414)
Alpers syndrome is a rare autosomal recessive hepatocerebral degenerative disorder. (http://www.ncbi.nlm.nih.gov/pubmed/22000311)
Alpers disease is a recessive mitochondrial disorder caused by mutations in POLG1 and characterized primarily by progressive neurological and hepatic degeneration. (http://www.ncbi.nlm.nih.gov/pubmed/21451360)
Alpers syndrome is an autosomal recessive mitochondrial DNA depletion disorder that affects children and young adults. (http://www.ncbi.nlm.nih.gov/pubmed/16181814)
We conclude that Alpers disease can be a cause of rapidly progressive liver failure in early childhood. Although the cause of this autosomal recessive disease is not known, it does not appear to be related to peroxisomal dysfunction. (http://www.ncbi.nlm.nih.gov/pubmed/1861211)"
Which packages are used for performing overlap analysis of genomic regions in R/bioconductor?,"[IRanges]
[GenomicRanges]
[GenomicFeatures]","At the core of the infrastructure are three packages: IRanges, GenomicRanges, and GenomicFeatures. These packages provide scalable data structures for representing annotated ranges on the genome, with special support for transcript structures, read alignments and coverage vectors. Computational facilities include efficient algorithms for overlap and nearest neighbor detection, coverage calculation and other range operations. This infrastructure directly supports more than 80 other Bioconductor packages, including those for sequence analysis, differential expression analysis and visualization. (http://www.ncbi.nlm.nih.gov/pubmed/23950696)"
What are the reported adverse effects of topical minoxidil?,N/A,"Hypertrichosis is a well-recognized adverse effect of therapy with either oral or topical minoxidil. (http://www.ncbi.nlm.nih.gov/pubmed/23463948)
reported increase of adverse events (additional hair growth on areas other than the scalp) with minoxidil (5%) twice daily.  (http://www.ncbi.nlm.nih.gov/pubmed/22592723)
a case of central serous chorioretinopathy after application of topical minoxidil solution. (http://www.ncbi.nlm.nih.gov/pubmed/21939432)
One month after the drug was discontinued, normal findings were found upon reexamination (http://www.ncbi.nlm.nih.gov/pubmed/21939432)
The incidence of adverse effects such as pruritus or local irritation was similar in the 5% minoxidil group (http://www.ncbi.nlm.nih.gov/pubmed/17902730)
The patients tolerated treatment with 1% topical minoxidil well without significant adverse effects. (http://www.ncbi.nlm.nih.gov/pubmed/17324826)
An increased occurrence of pruritus, local irritation, and hypertrichosis was observed with 5% topical minoxidil versus 2% topical minoxidil and placebo. (http://www.ncbi.nlm.nih.gov/pubmed/15034503)
Allergic contact dermatitis to topical minoxidil solution: etiology and treatment. (http://www.ncbi.nlm.nih.gov/pubmed/11807448)
However, some patients present with complaints of pruritus and scaling of the scalp. The most common causes of these symptoms include irritant contact dermatitis, allergic contact dermatitis, or an exacerbation of seborrheic dermatitis. Patients suffering from allergic contact dermatitis may benefit from patch testing to determine the causative allergen. Among the patients we patch tested, propylene glycol was found to be the contactant in a majority of cases, not the minoxidil itself.  (http://www.ncbi.nlm.nih.gov/pubmed/11807448)
A case of acute myocardial infarction associated with topical use of minoxidil (RiUP) for treatment of baldness. (http://www.ncbi.nlm.nih.gov/pubmed/11041102)
A 45-year-old Japanese man with paroxysmal atrial fibrillation (AF) developed acute anteroseptal myocardial infarction (MI). He had used 1% topical minoxidil (RiUP) once a day for 4 months before the onset of MI for treatment of baldness. (http://www.ncbi.nlm.nih.gov/pubmed/11041102)
Diffuse hypertrichosis during treatment with 5% topical minoxidil. (http://www.ncbi.nlm.nih.gov/pubmed/9039309)
Five women affected by androgenetic alopecia developed severe hypertrichosis of the face and limbs after 2-3 months of treatment with 5% topical minoxidil. Minoxidil was discontinued and in all patients the hypertrichosis disappeared from the face and arms after 1-3 months, and from legs after 4-5 months (http://www.ncbi.nlm.nih.gov/pubmed/9039309)
Generalized hypertrichosis after treatment with topical minoxidil. (http://www.ncbi.nlm.nih.gov/pubmed/8050148)
hypertrichosis is uncommon after treatment with topical minoxidil for alopecia, and normally only occurs in areas close to the site of application. A 16-year-old girl is presented who developed generalized hypertrichosis 3 months after applying topical minoxidil for treatment of diffuse alopecia in doses greater than that prescribed (http://www.ncbi.nlm.nih.gov/pubmed/8050148)
Two of our patients developed smoking intolerance during treatment with topical minoxidil for androgenital alopecia. (http://www.ncbi.nlm.nih.gov/pubmed/1554931)
The relation between treatment with minoxidil and smoking intolerance was emphasized by stopping treatment and the disappearance of the smoking intolerance, and then by rechallenge in both patients.  (http://www.ncbi.nlm.nih.gov/pubmed/1554931)
We observed an as yet unreported ""polymyalgia syndrome"" in four otherwise healthy males whose sole medication was topically applied minoxidil. They experienced fatigue, weight loss and severe pain in the shoulders and pelvic girdle, suggesting connective tissue disease. Three patients had a transient rise in liver enzymes, while other laboratory analyses remained normal. Tritanomaly was detected in two patients who underwent systematic color vision testing. All symptoms disappeared after withdrawal of minoxidil. Rechallenge was positive once in one patient and twice in another.  (http://www.ncbi.nlm.nih.gov/pubmed/2256586)
During 6 months of follow-up, blood pressure did not change, whereas minoxidil increased heart rate by 3-5 beats min-1. Compared with placebo, topical minoxidil caused significant increases in LV end-diastolic volume, in cardiac output (by 0.751 min-1) and in LV mass (by 5 g m-2). We conclude that in healthy subjects short-term use of topical minoxidil is likely not to be detrimental. However, safety needs to be established regarding ischaemic symptoms in patients with coronary artery disease as well as for the possible development of LV hypertrophy in healthy subjects during years of therapy. (http://www.ncbi.nlm.nih.gov/pubmed/3191000)
The most frequently reported adverse reactions are mild scalp dryness and irritation and, rarely, allergic contact dermatitis. (http://www.ncbi.nlm.nih.gov/pubmed/3311578)
Eight deaths that occurred during Upjohn-sponsored clinical trials of topical minoxidil and two deaths in subjects who used extemporaneous formulations of the drug are summarized. Of the eight patients in clinical trials, five had cardiovascular abnormalities and two had acquired immunodeficiency syndrome-related pneumonia. One patient died of a self-inflicted gunshot wound. One of the subjects who was using extemporaneous topical minoxidil had hypertension and arteriosclerotic disease and the other died of a myocardial infarction. There is little likelihood of significant adverse effects attributable to topical minoxidil because of its low systemic absorption. The evidence suggests that these deaths were the result of causes other than use of the drug. (http://www.ncbi.nlm.nih.gov/pubmed/3549808)
Only 2% of prescribers reported complications other than local irritation that they associated with topical minoxidil therapy, but underreporting of noncutaneous side effects in this survey of dermatologists cannot be excluded. (http://www.ncbi.nlm.nih.gov/pubmed/3800424)
Typical side effects of this topical treatment include irritative dermatitis going along with pruritus, erythema, scaling and dryness, which occur especially at the onset of the therapy. In some cases, allergic contact dermatitis or exacerbation of seborrheic dermatitis has been reported. While most of the patients with allergic contact dermatitis described in the literature showed a positive sensitization to the vehicle substance propylene glycol evaluated by patch testing, reactions to the active ingredient minoxidil are rare (http://www.ncbi.nlm.nih.gov/pubmed/15982234)"
Which cellular processes are regulated by Nanog?,"[cell proliferation]
[pluripotency]
[cell fate determination]
[G1 to S transition]
[germ cell migration]
[tumour development]","critical for the regulation of cancer stem cells. (http://www.ncbi.nlm.nih.gov/pubmed/22934707)
the effect of FAK and Nanog cross-regulation on cancer cell morphology, invasion, and growth that plays a significant role in carcinogenesis (http://www.ncbi.nlm.nih.gov/pubmed/22493428)
Nanog-like regulates endoderm formation (http://www.ncbi.nlm.nih.gov/pubmed/22421047)
In mammalian embryonic stem cells, the acquisition of pluripotency is dependent on Nanog (http://www.ncbi.nlm.nih.gov/pubmed/22421047)
we identified a zebrafish Nanog ortholog and found that its knockdown impaired endoderm formation (http://www.ncbi.nlm.nih.gov/pubmed/22421047)
establishes a role for Nanog-like in regulating the formation of the extraembryonic tissue required for endoderm induction (http://www.ncbi.nlm.nih.gov/pubmed/22421047)
Nanog regulates molecules involved in stemness and cell cycle-signaling pathway for maintenance of pluripotency (http://www.ncbi.nlm.nih.gov/pubmed/22378194)
Nanog, a key transcription factor in the maintenance of pluripotency of embryonic stem (ES) and embryonal carcinoma (EC) cells (http://www.ncbi.nlm.nih.gov/pubmed/22378194)
Nanog, a positive regulator of ESC proliferation and G1/S transition (http://www.ncbi.nlm.nih.gov/pubmed/22315219)
Nanog is a stem cell transcription factor required for self-renewal and for maintaining pluripotency (http://www.ncbi.nlm.nih.gov/pubmed/20962578)
NANOG regulates glioma stem cells (http://www.ncbi.nlm.nih.gov/pubmed/20581802)
We find that NANOG modulates gliomasphere clonogenicity, CD133(+) stem cell cell behavior and proliferation (http://www.ncbi.nlm.nih.gov/pubmed/20581802)
NANOG is essential for GBM tumourigenicity (http://www.ncbi.nlm.nih.gov/pubmed/20581802)
Nanog regulates primordial germ cell migration (http://www.ncbi.nlm.nih.gov/pubmed/20578184)
Nanog mediates PGC migration by regulating Cxcr4b expression (http://www.ncbi.nlm.nih.gov/pubmed/20578184)
Nanog regulates proliferation during early fish development. (http://www.ncbi.nlm.nih.gov/pubmed/19544407)
Nanog is necessary for S-phase transition and proliferation in the developing embryo (http://www.ncbi.nlm.nih.gov/pubmed/19544407)
our results demonstrate that NANOG, a cell-fate regulatory molecule known to be important for ESC self-renewal, also plays a novel role in tumor development (http://www.ncbi.nlm.nih.gov/pubmed/19415763)
the self-renewal gene NANOG regulates human tumor development (http://www.ncbi.nlm.nih.gov/pubmed/19415763)
The emerging picture is one in which Oct4 and Nanog control a cascade of pathways that are intricately connected to govern pluripotency, self-renewal, genome surveillance and cell fate determination (http://www.ncbi.nlm.nih.gov/pubmed/16518401)
the pluripotency sustaining factor nanog (http://www.ncbi.nlm.nih.gov/pubmed/14728807)"
What is the treatment of Riedel disease (thyroiditis)?,N/A,"IFT often is associated with a systemic extracervical fibrotic process and tobacco use. Attempted thyroid resection often results in postoperative complications. Long-term follow-up showed no deaths fro (http://www.ncbi.nlm.nih.gov/pubmed/21568724)
Riedel's invasive fibrous thyroiditis is a rare disorder of unknown origin with progressive extension and invasion of adjacent structures. (http://www.ncbi.nlm.nih.gov/pubmed/11014014)
Clinically it is impossible to distinguish between Riedel's/thyroiditis and other diseases as undifferentiated carcinoma, Hashimoto's disease etc... (http://www.ncbi.nlm.nih.gov/pubmed/11014014)
Surgical treatment depends on the stage of the disease, when both lobes are involved generous wedge resection of the isthmus may be the treatment of choice to relieve tracheal compression; in earlier stages radical operation are considered. Corticosteroid treatment in Riedel's thyroiditis, as multifocal disease has been successfully used. Other drugs with antifibrosing actions have also utilised in small groups of patients with encouraging results. (http://www.ncbi.nlm.nih.gov/pubmed/11014014)"
Which post-translational histone modifications are characteristic of facultative heterochromatin?,"[H3K9me3]
[H3K9me2]
[H3K36me3]","We used chromatin immunoprecipitation combined with high-throughput sequencing (""ChIP-seq"") of DNA associated with the centromere-specific histone H3, CENP-A (CenH3), to identify centromeric DNA, and ChIP-seq with antibodies against dimethylated H3K4, trimethylated H3K9 and trimethylated H3K27 to determine the relative distribution and proportion of euchromatin, obligate and facultative heterochromatin, respectively (http://www.ncbi.nlm.nih.gov/pubmed/26430472)
Dramatic changes in exposure of a repressive chromatin mark, H3K9me2, indicate that during development linker histone plays a role in establishing the facultative heterochromatin territory and architecture in the nucleus (http://www.ncbi.nlm.nih.gov/pubmed/23645681)
We show here that the maternally inherited Snurf-Snrpn 3-Mb region, which is silenced by a potent transcription repressive mechanism, is uniformly enriched in histone methylation marks usually found in constitutive heterochromatin, such as H4K20me3, H3K9me3, and H3K79me3. Strikingly, we found that trimethylated histone H3 at lysine 36 (H3K36me3), which was previously identified as a hallmark of actively transcribed regions, is deposited onto the silenced, maternally contributed 3-Mb imprinted region (http://www.ncbi.nlm.nih.gov/pubmed/21803857)
Histone H3 trimethylation at lysine 36 is associated with constitutive and facultative heterochromatin. (http://www.ncbi.nlm.nih.gov/pubmed/21803857)
In addition, we demonstrate that H3K36me3 is markedly enriched at the level of pericentromeric heterochromatin in mouse embryonic stem cells and fibroblasts. (http://www.ncbi.nlm.nih.gov/pubmed/21803857)
Remarkably, H3K9me3 is predominant in coding regions of active genes, a phenomenon that is not restricted to the X chromosome. (http://www.ncbi.nlm.nih.gov/pubmed/16648823)
We detected the H3K9me2, H3K9me3, and H3K27me3 modifications, with H3K27me3, which is indicative of facultative heterochromatin, exhibiting the highest enrichment on all viral promoters tested.  (http://www.ncbi.nlm.nih.gov/pubmed/19515781)
Our study identifies a unique heterochromatin state marked by the presence of both H3.3 and H3K9me3, and establishes an important role for H3.3 in control of ERV retrotransposition in embryonic stem cells. (http://www.ncbi.nlm.nih.gov/pubmed/25938714)"
